UniqueID,Surge_A26_,Surge_A29_,Surge_A37_,Surge_A38_,Surge_A39_,Surge_A50_,Surge_A33_,Surge_A41_,Surge_A48_,Surge_A34_,Surge_A44_,Surge_A43_,Surge_A55_,Surge_A47_,Surge_A12_,Surge_A46_,Duplicate
OD_1_01174100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01186000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01257700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01186300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01178900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01186800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01257600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01177200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01258300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01258400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01186900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01258500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01258200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01180000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01258600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01178800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01177100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01189700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01258700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01178700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01242700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01180200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01189100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01260200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01180100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01181200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01258800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01190200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01178600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01177400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01177300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01177500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01177000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01242800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01178200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01258900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01262700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01260400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01259500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01177700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01261800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01177600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01190800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01262000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01190300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01242600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01189800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01262900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01181100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01260100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01261900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01180300,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01260500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01190100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01242000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01242500,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01242100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01263200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01191100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01263000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01181000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01263100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01180400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01261700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01189900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01189000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01178300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01262100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
