UniqueID,NEAR_DIST
TN_1_00017400,11173.8452
TN_1_00040500,83693.11314
TN_1_00027500,39830.7357
TN_1_00028000,46155.46829
TN_1_00027700,44395.02853
TN_1_00017000,9966.903014
TN_1_00027900,45288.14596
TN_1_00017800,23380.68299
TN_1_00027200,35991.8598
TN_1_00027300,37293.90031
TN_1_00043200,60540.64623
TN_1_00028300,54379.32789
TN_1_00027400,38321.96889
TN_1_00028600,48214.57645
TN_1_00017900,22984.59059
TN_1_00039900,94595.54705
TN_1_00017500,13711.91199
TN_1_00043600,57510.82484
TN_1_00039800,92132.7911
TN_1_00029500,26226.32855
TN_1_40110000,90460.58865
TN_1_00040300,88081.41416
TN_1_00018400,1230.348167
TN_1_00029600,23603.82627
TN_1_00018000,22003.14197
TN_1_40104000,8428.860202
TN_1_00018200,18991.24304
TN_1_00029400,28726.66173
TN_1_00028500,49407.60964
TN_1_00028400,51387.96822
TN_1_00040400,87429.24561
TN_1_00043400,58352.27207
TN_1_00028700,45531.06383
TN_1_00032400,76643.76924
TN_1_00018100,22033.40242
TN_1_00043300,59783.67653
TN_1_00045900,34519.64065
TN_1_00019000,13649.62641
TN_1_00043500,56674.19115
TN_1_00029700,23741.323
TN_1_00028900,42876.15566
TN_1_00018300,5768.019708
TN_1_00028800,44039.34863
TN_1_00029300,30156.17566
TN_1_00033300,81039.29258
TN_1_00033400,82765.7864
TN_1_00032800,69688.68963
TN_1_00032900,71914.0838
TN_1_00029000,40363.61857
TN_1_00030900,43710.97067
TN_1_00031200,46935.39256
TN_1_00029100,39350.31548
TN_1_00019100,15802.52966
TN_1_00018800,10808.88025
TN_1_00019200,17018.52597
TN_1_00033200,78431.26586
TN_1_40105000,3578.433583
TN_1_00040000,94694.09674
TN_1_00018900,11042.4188
TN_1_00031000,45117.37012
TN_1_00033100,76449.26444
TN_1_00030800,40514.40096
TN_1_00045800,36102.88066
TN_1_00018700,9207.378264
TN_1_00030000,25546.2539
TN_1_00029800,22832.13675
TN_1_00029900,23839.39076
TN_1_00018500,1037.745897
TN_1_00019600,20862.25796
TN_1_00019300,16710.32068
TN_1_00030300,29622.18909
TN_1_00018600,4847.709534
TN_1_00019500,18905.14906
TN_1_00029200,32381.02367
TN_1_00040200,89891.7302
TN_1_00031300,48454.79556
TN_1_00040100,93740.27221
TN_1_00019400,17350.69519
TN_1_00031400,50183.08783
TN_1_00032200,25278.08701
