"UniqueID","saline_pixel_count","saline_area_m2","State","District","Year"
"AP_1_01119100",3036.58520507812,2732926.68457031,"AP",1,2013
"AP_1_01125300",0,0,"AP",1,2013
"AP_1_01125400",0,0,"AP",1,2013
"AP_1_01109300",28.548755645752,25693.8800811768,"AP",1,2013
"AP_1_01137800",0,0,"AP",1,2013
"AP_1_01137400",0,0,"AP",1,2013
"AP_1_01138300",0,0,"AP",1,2013
"AP_1_01137300",1,900,"AP",1,2013
"AP_1_01095600",0,0,"AP",1,2013
"AP_1_01138000",0,0,"AP",1,2013
"AP_1_01138400",3,2700,"AP",1,2013
"AP_1_01138100",1,900,"AP",1,2013
"AP_1_01125500",0.0855580568313599,77.0022511482239,"AP",1,2013
"AP_1_01125600",278.614349365234,250752.914428711,"AP",1,2013
"AP_1_01136200",0,0,"AP",1,2013
"AP_1_01127600",7,6300,"AP",1,2013
"AP_1_01126300",8.3340482711792,7500.64344406128,"AP",1,2013
"AP_1_01119000",3302.234375,2972010.9375,"AP",1,2013
"AP_1_01125700",1859.20544433594,1673284.89990234,"AP",1,2013
"AP_1_01127900",0,0,"AP",1,2013
"AP_1_41101000",656.58984375,590930.859375,"AP",1,2013
"AP_1_01109400",5,4500,"AP",1,2013
"AP_1_01127700",4,3600,"AP",1,2013
"AP_1_01111000",19.2589683532715,17333.0715179443,"AP",1,2013
"AP_1_01110400",572.400451660156,515160.406494141,"AP",1,2013
"AP_1_01127800",0,0,"AP",1,2013
"AP_1_01110000",72.7578506469727,65482.0655822754,"AP",1,2013
"AP_1_01126100",27.4973335266113,24747.6001739502,"AP",1,2013
"AP_1_01109700",102.649513244629,92384.561920166,"AP",1,2013
"AP_1_01138500",2.05766844749451,1851.90160274506,"AP",1,2013
"AP_1_01128000",0,0,"AP",1,2013
"AP_1_01110900",134.898406982422,121408.56628418,"AP",1,2013
"AP_1_01138700",13.2187967300415,11896.9170570374,"AP",1,2013
"AP_1_01125800",500.219573974609,450197.616577148,"AP",1,2013
"AP_1_01095900",4,3600,"AP",1,2013
"AP_1_01125900",1405.39074707031,1264851.67236328,"AP",1,2013
"AP_1_01126200",0.964500844478607,868.050760030746,"AP",1,2013
"AP_1_01138600",3.62232351303101,3260.09116172791,"AP",1,2013
"AP_1_01138200",0,0,"AP",1,2013
"AP_1_01110100",0,0,"AP",1,2013
"AP_1_01109900",32.899730682373,29609.7576141357,"AP",1,2013
"AP_1_01128100",0,0,"AP",1,2013
"AP_1_01109500",3,2700,"AP",1,2013
"AP_1_01126400",0,0,"AP",1,2013
"AP_1_01118800",8118.51025390625,7306659.22851562,"AP",1,2013
"AP_1_01110200",0,0,"AP",1,2013
"AP_1_01126900",4.58039379119873,4122.35441207886,"AP",1,2013
"AP_1_01095800",0,0,"AP",1,2013
"AP_1_01126000",0,0,"AP",1,2013
"AP_1_01118300",113.897666931152,102507.900238037,"AP",1,2013
"AP_1_01154100",63.1184043884277,56806.563949585,"AP",1,2013
"AP_1_01095700",0,0,"AP",1,2013
"AP_1_01111100",38.9175109863281,35025.7598876953,"AP",1,2013
"AP_1_01111400",16,14400,"AP",1,2013
"AP_1_01126800",33,29700,"AP",1,2013
"AP_1_01127000",788.723327636719,709850.994873047,"AP",1,2013
"AP_1_01110800",60.0189170837402,54017.0253753662,"AP",1,2013
"AP_1_01111200",68.9124908447266,62021.2417602539,"AP",1,2013
"AP_1_01128200",3.42475199699402,3082.27679729462,"AP",1,2013
"AP_1_01111500",179.374526977539,161437.074279785,"AP",1,2013
"AP_1_01119200",5159.7412109375,4643767.08984375,"AP",1,2013
"AP_1_01126700",6,5400,"AP",1,2013
"AP_1_01126600",0,0,"AP",1,2013
"AP_1_01110500",2,1800,"AP",1,2013
"AP_1_01118400",114.115760803223,102704.1847229,"AP",1,2013
"AP_1_01118500",1066.5146484375,959863.18359375,"AP",1,2013
"AP_1_01110700",196.965438842773,177268.894958496,"AP",1,2013
"AP_1_01126500",20,18000,"AP",1,2013
"AP_1_01127200",451.196960449219,406077.264404297,"AP",1,2013
"AP_1_01127100",262.505889892578,236255.30090332,"AP",1,2013
"AP_1_01110300",6.96642351150513,6269.78116035461,"AP",1,2013
"AP_1_01110600",7.97540760040283,7177.86684036255,"AP",1,2013
"AP_1_01111300",0,0,"AP",1,2013
"AP_1_01096200",1,900,"AP",1,2013
"AP_1_01127400",1,900,"AP",1,2013
"AP_1_01113800",0,0,"AP",1,2013
"AP_1_01120200",357.9609375,322164.84375,"AP",1,2013
"AP_1_01127300",616.103088378906,554492.779541016,"AP",1,2013
"AP_1_01111600",0,0,"AP",1,2013
"AP_1_01114300",177.812835693359,160031.552124023,"AP",1,2013
"AP_1_01111700",3,2700,"AP",1,2013
"AP_1_01127500",0,0,"AP",1,2013
"AP_1_01122000",561.969665527344,505772.698974609,"AP",1,2013
"AP_1_01154000",23,20700,"AP",1,2013
"AP_1_01120500",26.11279296875,23501.513671875,"AP",1,2013
"AP_1_01153900",0,0,"AP",1,2013
"AP_1_01118900",836.065551757812,752458.996582031,"AP",1,2013
"AP_1_01120600",280.679931640625,252611.938476562,"AP",1,2013
"AP_1_01118600",241.60383605957,217443.452453613,"AP",1,2013
"AP_1_01119300",679.462890625,611516.6015625,"AP",1,2013
"AP_1_01113900",42.6324424743652,38369.1982269287,"AP",1,2013
"AP_1_01112000",43.169994354248,38852.9949188232,"AP",1,2013
"AP_1_01091900",2,1800,"AP",1,2013
"AP_1_01113000",699.667785644531,629701.007080078,"AP",1,2013
"AP_1_01128400",0,0,"AP",1,2013
"AP_1_01111900",5,4500,"AP",1,2013
"AP_1_01154500",24.1016254425049,21691.4628982544,"AP",1,2013
"AP_1_01120700",28.3485336303711,25513.680267334,"AP",1,2013
"AP_1_01112800",23.8326358795166,21449.3722915649,"AP",1,2013
"AP_1_01112100",94,84600,"AP",1,2013
"AP_1_01120300",34.8761024475098,31388.4922027588,"AP",1,2013
"AP_1_01128500",461.241729736328,415117.556762695,"AP",1,2013
"AP_1_01114000",31.9966316223145,28796.968460083,"AP",1,2013
"AP_1_01153800",0,0,"AP",1,2013
"AP_1_01119800",1211.38671875,1090248.046875,"AP",1,2013
"AP_1_01128300",0,0,"AP",1,2013
"AP_1_01096000",0,0,"AP",1,2013
"AP_1_01120100",277.732208251953,249958.987426758,"AP",1,2013
"AP_1_01154200",14.7397203445435,13265.7483100891,"AP",1,2013
"AP_1_01120400",236.293472290039,212664.125061035,"AP",1,2013
"AP_1_01119600",1007.57635498047,906818.719482422,"AP",1,2013
"AP_1_01119400",281.801116943359,253621.005249023,"AP",1,2013
"AP_1_01111800",2,1800,"AP",1,2013
"AP_1_01120000",752.850036621094,677565.032958984,"AP",1,2013
"AP_1_01310400",1,900,"AP",1,2013
"AP_1_01096100",0,0,"AP",1,2013
"AP_1_01120900",14.0269355773926,12624.2420196533,"AP",1,2013
"AP_1_01128700",942.422973632812,848180.676269531,"AP",1,2013
"AP_1_01121900",33.1392211914062,29825.2990722656,"AP",1,2013
"AP_1_01115100",61.2120170593262,55090.8153533936,"AP",1,2013
"AP_1_01116000",174.144332885742,156729.899597168,"AP",1,2013
"AP_1_01114100",3.96301865577698,3566.71679019928,"AP",1,2013
"AP_1_01119700",4475.14404296875,4027629.63867188,"AP",1,2013
"AP_1_01153700",5,4500,"AP",1,2013
"AP_1_01119500",537.727478027344,483954.730224609,"AP",1,2013
"AP_1_01122100",1912.69689941406,1721427.20947266,"AP",1,2013
"AP_1_01114200",7.36755657196045,6630.8009147644,"AP",1,2013
"AP_1_01128600",3.73649597167969,3362.84637451172,"AP",1,2013
"AP_1_01128800",176.511657714844,158860.491943359,"AP",1,2013
"AP_1_01129800",7.97979640960693,7181.81676864624,"AP",1,2013
"AP_1_01154300",11.1051349639893,9994.62146759033,"AP",1,2013
"AP_1_01116400",167.687240600586,150918.516540527,"AP",1,2013
"AP_1_01121000",13.5394992828369,12185.5493545532,"AP",1,2013
"AP_1_01121200",31.779260635376,28601.3345718384,"AP",1,2013
"AP_1_01114900",2,1800,"AP",1,2013
"AP_1_01122700",3958.32104492188,3562488.94042969,"AP",1,2013
"AP_1_01112700",147.247406005859,132522.665405273,"AP",1,2013
"AP_1_01153500",115.631858825684,104068.672943115,"AP",1,2013
"AP_1_01119900",588.589904785156,529730.914306641,"AP",1,2013
"AP_1_01129700",10,9000,"AP",1,2013
"AP_1_01115900",45.3342933654785,40800.8640289307,"AP",1,2013
"AP_1_01116200",8,7200,"AP",1,2013
"AP_1_01116500",54.1944808959961,48775.0328063965,"AP",1,2013
"AP_1_01091800",0,0,"AP",1,2013
"AP_1_01112900",223.556457519531,201200.811767578,"AP",1,2013
"AP_1_01112600",169.645385742188,152680.847167969,"AP",1,2013
"AP_1_01121500",179.987838745117,161989.054870605,"AP",1,2013
"AP_1_01115000",4,3600,"AP",1,2013
"AP_1_01122200",0,0,"AP",1,2013
"AP_1_01130000",1,900,"AP",1,2013
"AP_1_01128900",1755.63024902344,1580067.22412109,"AP",1,2013
"AP_1_01153600",3.39875960350037,3058.88364315033,"AP",1,2013
"AP_1_01116100",211.053131103516,189947.817993164,"AP",1,2013
"AP_1_01122500",1178.47009277344,1060623.08349609,"AP",1,2013
"AP_1_01121100",0.244507342576981,220.056608319283,"AP",1,2013
"AP_1_01129500",242.135513305664,217921.961975098,"AP",1,2013
"AP_1_01113100",230.123352050781,207111.016845703,"AP",1,2013
"AP_1_01116300",5.36466407775879,4828.19766998291,"AP",1,2013
"AP_1_01099900",0,0,"AP",1,2013
"AP_1_01112500",11,9900,"AP",1,2013
"AP_1_01122300",609.698303222656,548728.472900391,"AP",1,2013
"AP_1_01100000",0,0,"AP",1,2013
"AP_1_01154400",10.8669681549072,9780.2713394165,"AP",1,2013
"AP_1_01129600",0,0,"AP",1,2013
"AP_1_01122600",1452.31408691406,1307082.67822266,"AP",1,2013
"AP_1_01115200",0,0,"AP",1,2013
